Make,Colour,Odometer,Doors,Price
Toyota,Green,67804,4,16427
Ford,Yellow,13754,4,9697
Chevrolet,White,37044,4,26417
Chevrolet,Green,77260,4,18446
BMW,Red,76912,4,9829
Ferrari,White,266695,2,12751
Toyota,Green,18706,5,15450
BMW,Red,281038,5,9352
Nissan,Black,192684,4,15516
Honda,Yellow,39725,5,25299
Chevrolet,Red,146998,5,10326
Nissan,Pink,114555,5,5644
Nissan,Blue,271486,4,23354
Ford,Red,281640,4,28711
Honda,Red,66447,5,10003
Nissan,Yellow,170878,5,5278
Nissan,Blue,51321,4,9296
Honda,Pink,263113,2,27398
Honda,Green,243103,5,5074
Nissan,Green,65147,2,15261
Honda,Red,101396,5,13173
Nissan,Blue,254839,2,10312
Nissan,Blue,31727,2,25936
Ford,Pink,249423,2,3637
Toyota,Yellow,105081,4,15652
Nissan,Black,251130,2,7103
BMW,Green,78056,2,27500
Chevrolet,Yellow,144153,2,19028
Ferrari,White,175268,5,4032
Toyota,Green,177807,2,4761
Toyota,Yellow,245821,5,17195
Toyota,Green,90102,2,20452
Ford,Black,166570,2,18625
Nissan,White,86865,4,4668
Ford,Black,172728,5,16638
Nissan,Pink,77695,2,17954
Ford,White,127235,5,19186
Ford,Red,118777,5,23443
Chevrolet,Yellow,29033,4,14356
BMW,White,151877,4,2195
Ford,Pink,176923,4,4187
Chevrolet,Pink,36832,4,13707
Honda,Black,204509,4,4330
BMW,Green,155016,4,28935
Ford,White,292017,4,23225
Ferrari,Yellow,50372,4,5606
Toyota,White,99464,2,26852
Honda,Blue,156451,5,2060
Honda,Green,127322,4,29966
Chevrolet,Yellow,177823,4,28489
Honda,Yellow,230894,5,16387
BMW,Red,277254,2,5927
Ford,Black,284231,5,8296
Ford,Red,110483,5,15622
Ferrari,Yellow,19596,4,16125
Toyota,Green,244627,5,4591
Chevrolet,White,117539,5,27142
Toyota,White,28313,4,14127
Honda,Green,207621,4,17748
Ferrari,Yellow,124914,4,28147
Toyota,Pink,33705,4,8121
BMW,White,208436,5,3200
Ford,Pink,113892,5,17721
Honda,White,219717,2,21238
Ferrari,White,274167,2,13087
Toyota,Black,129654,5,25408
Chevrolet,Black,200868,2,27812
BMW,Blue,90073,5,8972
BMW,Red,74429,2,2136
Toyota,Green,114195,4,19413
Ford,Green,202699,2,17346
Toyota,Green,43848,4,28732
Honda,Blue,299910,4,20978
Toyota,Black,78099,4,25590
BMW,Yellow,79122,4,2661
Ferrari,Pink,157159,2,4472
Toyota,Pink,58868,5,29253
Ford,Yellow,129119,4,28884
Ferrari,Blue,278787,2,2086
Chevrolet,Yellow,119079,4,12704
Nissan,Green,26029,2,8219
Toyota,Red,256353,2,26527
Ford,White,204718,2,18322
Ferrari,Pink,78926,5,16749
Ford,Black,147069,2,8968
Chevrolet,Black,52092,2,29518
BMW,Blue,162889,5,21157
Ford,Black,178933,5,29080
Ferrari,Green,23428,2,15596
Ford,Pink,185006,5,29886
Ford,Yellow,256627,4,3700
Ford,Green,255439,4,4700
Honda,Blue,151330,5,25199
Honda,Green,67775,5,13821
BMW,Yellow,222652,2,20031
Toyota,Red,277613,5,24422
Ford,Blue,147328,2,23548
Chevrolet,Red,265158,4,7520
Toyota,White,86256,5,13510
Chevrolet,Red,142723,2,5687
Toyota,White,191360,2,18980
BMW,White,299530,4,22929
Ford,Red,252634,5,27060
Ford,Blue,43787,4,10837
Nissan,Yellow,31621,2,16955
Chevrolet,Green,87984,2,13281
Toyota,Green,40447,5,15917
Toyota,Yellow,138046,2,6757
Honda,Pink,225002,5,15045
Nissan,Pink,171326,4,22768
Ferrari,White,126859,5,10912
Ferrari,White,198490,5,6733
Honda,Blue,13471,2,9081
Honda,Black,248404,2,10690
Honda,Red,130312,5,25501
Chevrolet,White,236876,2,23113
Chevrolet,Green,149401,2,3673
BMW,Blue,175937,2,16318
BMW,Red,56850,5,29643
Honda,Blue,253306,2,26690
Nissan,Red,103808,5,13171
Toyota,Red,147469,2,28312
Chevrolet,Yellow,238981,4,15545
Nissan,White,176597,2,13803
Ford,Blue,63072,2,25562
Chevrolet,Blue,231178,5,28829
Chevrolet,Yellow,93820,5,4294
BMW,Green,33284,2,5630
Toyota,Green,93369,4,17093
Toyota,Pink,297266,2,18530
Ferrari,White,222978,2,16453
Ferrari,White,72812,4,14174
Ferrari,Black,280143,5,5453
Ferrari,Yellow,294580,2,6507
Ford,Green,143168,5,24167
Ford,Red,254809,5,26135
Chevrolet,Blue,262164,4,12602
Honda,White,255317,4,7628
BMW,Blue,298345,5,10328
BMW,Blue,160787,2,17534
Ferrari,Black,170381,5,21744
Chevrolet,Green,156150,2,21389
Nissan,White,15105,2,5552
Honda,Blue,274983,4,18402
Chevrolet,White,78920,2,4242
Honda,Red,52821,2,16665
Honda,Black,135736,5,24702
Honda,Red,27069,4,7097
Chevrolet,White,17531,2,10640
Ferrari,Pink,148808,2,3948
BMW,White,148782,4,27521
